StartTime,EndTime,HydroPowerProduction
27/04/2023 03:43,27/04/2023 03:43,988.5
27/04/2023 03:46,27/04/2023 03:46,975
27/04/2023 03:49,27/04/2023 03:49,966.5
27/04/2023 03:52,27/04/2023 03:52,967.16
27/04/2023 03:55,27/04/2023 03:55,956.5
27/04/2023 03:58,27/04/2023 03:58,942.5
27/04/2023 04:01,27/04/2023 04:01,954.34
27/04/2023 04:04,27/04/2023 04:04,976.82
27/04/2023 04:07,27/04/2023 04:07,982.84
27/04/2023 04:10,27/04/2023 04:10,986.5
27/04/2023 04:13,27/04/2023 04:13,979.35
27/04/2023 04:16,27/04/2023 04:16,979.67
27/04/2023 04:19,27/04/2023 04:19,974.66
27/04/2023 04:22,27/04/2023 04:22,979.66
27/04/2023 04:25,27/04/2023 04:25,982.16
27/04/2023 04:28,27/04/2023 04:28,984.82
27/04/2023 04:31,27/04/2023 04:31,988.17
27/04/2023 04:34,27/04/2023 04:34,997.99
27/04/2023 04:37,27/04/2023 04:37,991
27/04/2023 04:40,27/04/2023 04:40,993.83
27/04/2023 04:43,27/04/2023 04:43,1014.3
27/04/2023 04:46,27/04/2023 04:46,1012
27/04/2023 04:49,27/04/2023 04:49,1053.5
27/04/2023 04:52,27/04/2023 04:52,1060.2
27/04/2023 04:55,27/04/2023 04:55,1075.2
27/04/2023 04:58,27/04/2023 04:58,1078.3
27/04/2023 05:01,27/04/2023 05:01,1076.5
27/04/2023 05:04,27/04/2023 05:04,1142.6
27/04/2023 05:07,27/04/2023 05:07,1188.3
27/04/2023 05:10,27/04/2023 05:10,1198.7
27/04/2023 05:13,27/04/2023 05:13,1218.8
27/04/2023 05:16,27/04/2023 05:16,1208
27/04/2023 05:19,27/04/2023 05:19,1242.4
27/04/2023 05:22,27/04/2023 05:22,1282
27/04/2023 05:25,27/04/2023 05:25,1290.8
27/04/2023 05:28,27/04/2023 05:28,1295.7
27/04/2023 05:31,27/04/2023 05:31,1299.7
27/04/2023 05:34,27/04/2023 05:34,1310
27/04/2023 05:37,27/04/2023 05:37,1294.5
27/04/2023 05:40,27/04/2023 05:40,1297.3
27/04/2023 05:43,27/04/2023 05:43,1273.2
27/04/2023 05:46,27/04/2023 05:46,1265.3
27/04/2023 05:49,27/04/2023 05:49,1196.3
27/04/2023 05:52,27/04/2023 05:52,1180.2
27/04/2023 05:55,27/04/2023 05:55,1204
27/04/2023 05:58,27/04/2023 05:58,1238.3
27/04/2023 06:01,27/04/2023 06:01,1282.1
27/04/2023 06:04,27/04/2023 06:04,1350.7
