StartTime,EndTime,WindPowerGeneration
14/02/2023 23:00,15/02/2023 00:00,1167
15/02/2023 00:00,15/02/2023 01:00,1161
15/02/2023 01:00,15/02/2023 02:00,1048
15/02/2023 02:00,15/02/2023 03:00,901
15/02/2023 03:00,15/02/2023 04:00,890
15/02/2023 04:00,15/02/2023 05:00,844
15/02/2023 05:00,15/02/2023 06:00,852
15/02/2023 06:00,15/02/2023 07:00,847
15/02/2023 07:00,15/02/2023 08:00,1012
15/02/2023 08:00,15/02/2023 09:00,1192
15/02/2023 09:00,15/02/2023 10:00,1200
15/02/2023 10:00,15/02/2023 11:00,1082
15/02/2023 11:00,15/02/2023 12:00,913
15/02/2023 12:00,15/02/2023 13:00,767
15/02/2023 13:00,15/02/2023 14:00,744
15/02/2023 14:00,15/02/2023 15:00,752
15/02/2023 15:00,15/02/2023 16:00,780
15/02/2023 16:00,15/02/2023 17:00,883
15/02/2023 17:00,15/02/2023 18:00,1180
15/02/2023 18:00,15/02/2023 19:00,1553
15/02/2023 19:00,15/02/2023 20:00,1940
15/02/2023 20:00,15/02/2023 21:00,2356
15/02/2023 21:00,15/02/2023 22:00,2436
15/02/2023 22:00,15/02/2023 23:00,2375
15/02/2023 23:00,16/02/2023 00:00,2192
16/02/2023 00:00,16/02/2023 01:00,2062
16/02/2023 01:00,16/02/2023 02:00,2099
16/02/2023 02:00,16/02/2023 03:00,2284
16/02/2023 03:00,16/02/2023 04:00,2558
16/02/2023 04:00,16/02/2023 05:00,2707
16/02/2023 05:00,16/02/2023 06:00,2814
16/02/2023 06:00,16/02/2023 07:00,2893
16/02/2023 07:00,16/02/2023 08:00,3023
16/02/2023 08:00,16/02/2023 09:00,3210
16/02/2023 09:00,16/02/2023 10:00,3331
16/02/2023 10:00,16/02/2023 11:00,3326
16/02/2023 11:00,16/02/2023 12:00,3396
16/02/2023 12:00,16/02/2023 13:00,3375
16/02/2023 13:00,16/02/2023 14:00,3325
16/02/2023 14:00,16/02/2023 15:00,3401
16/02/2023 15:00,16/02/2023 16:00,3469
16/02/2023 16:00,16/02/2023 17:00,3488
16/02/2023 17:00,16/02/2023 18:00,3310
