StartTime,EndTime,WindPowerGeneration
10/04/2023 22:00,10/04/2023 23:00,481
10/04/2023 23:00,11/04/2023 00:00,455
11/04/2023 00:00,11/04/2023 01:00,419
11/04/2023 01:00,11/04/2023 02:00,452
11/04/2023 02:00,11/04/2023 03:00,511
11/04/2023 03:00,11/04/2023 04:00,618
11/04/2023 04:00,11/04/2023 05:00,669
11/04/2023 05:00,11/04/2023 06:00,735
11/04/2023 06:00,11/04/2023 07:00,672
11/04/2023 07:00,11/04/2023 08:00,584
11/04/2023 08:00,11/04/2023 09:00,461
11/04/2023 09:00,11/04/2023 10:00,270
11/04/2023 10:00,11/04/2023 11:00,120
11/04/2023 11:00,11/04/2023 12:00,78
11/04/2023 12:00,11/04/2023 13:00,109
11/04/2023 13:00,11/04/2023 14:00,175
11/04/2023 14:00,11/04/2023 15:00,233
11/04/2023 15:00,11/04/2023 16:00,237
11/04/2023 16:00,11/04/2023 17:00,237
11/04/2023 17:00,11/04/2023 18:00,280
11/04/2023 18:00,11/04/2023 19:00,333
11/04/2023 19:00,11/04/2023 20:00,491
11/04/2023 20:00,11/04/2023 21:00,813
11/04/2023 21:00,11/04/2023 22:00,1237
11/04/2023 22:00,11/04/2023 23:00,1497
11/04/2023 23:00,12/04/2023 00:00,1488
12/04/2023 00:00,12/04/2023 01:00,1338
12/04/2023 01:00,12/04/2023 02:00,1046
12/04/2023 02:00,12/04/2023 03:00,804
12/04/2023 03:00,12/04/2023 04:00,544
12/04/2023 04:00,12/04/2023 05:00,374
12/04/2023 05:00,12/04/2023 06:00,334
12/04/2023 06:00,12/04/2023 07:00,312
12/04/2023 07:00,12/04/2023 08:00,325
12/04/2023 08:00,12/04/2023 09:00,326
12/04/2023 09:00,12/04/2023 10:00,307
12/04/2023 10:00,12/04/2023 11:00,274
12/04/2023 11:00,12/04/2023 12:00,258
12/04/2023 12:00,12/04/2023 13:00,293
12/04/2023 13:00,12/04/2023 14:00,357
12/04/2023 14:00,12/04/2023 15:00,452
12/04/2023 15:00,12/04/2023 16:00,518
12/04/2023 16:00,12/04/2023 17:00,678
12/04/2023 17:00,12/04/2023 18:00,935
12/04/2023 18:00,12/04/2023 19:00,1265
12/04/2023 19:00,12/04/2023 20:00,1850
12/04/2023 20:00,12/04/2023 21:00,2678
12/04/2023 21:00,12/04/2023 22:00,3325
12/04/2023 22:00,12/04/2023 23:00,3592
12/04/2023 23:00,13/04/2023 00:00,3677
13/04/2023 00:00,13/04/2023 01:00,3997
13/04/2023 01:00,13/04/2023 02:00,4052
13/04/2023 02:00,13/04/2023 03:00,4086
13/04/2023 03:00,13/04/2023 04:00,4104
13/04/2023 04:00,13/04/2023 05:00,4379
13/04/2023 05:00,13/04/2023 06:00,4388
13/04/2023 06:00,13/04/2023 07:00,4431
13/04/2023 07:00,13/04/2023 08:00,4253
13/04/2023 08:00,13/04/2023 09:00,3701
13/04/2023 09:00,13/04/2023 10:00,3184
13/04/2023 10:00,13/04/2023 11:00,2929
13/04/2023 11:00,13/04/2023 12:00,2839
13/04/2023 12:00,13/04/2023 13:00,2980
13/04/2023 13:00,13/04/2023 14:00,3175
13/04/2023 14:00,13/04/2023 15:00,3294
13/04/2023 15:00,13/04/2023 16:00,3398
13/04/2023 16:00,13/04/2023 17:00,3451
13/04/2023 17:00,13/04/2023 18:00,3412
13/04/2023 18:00,13/04/2023 19:00,3538
13/04/2023 19:00,13/04/2023 20:00,3624
13/04/2023 20:00,13/04/2023 21:00,3855
13/04/2023 21:00,13/04/2023 22:00,4354
13/04/2023 22:00,13/04/2023 23:00,4556
13/04/2023 23:00,14/04/2023 00:00,4616
14/04/2023 00:00,14/04/2023 01:00,4573
14/04/2023 01:00,14/04/2023 02:00,4443
14/04/2023 02:00,14/04/2023 03:00,4181
14/04/2023 03:00,14/04/2023 04:00,4097
14/04/2023 04:00,14/04/2023 05:00,4090
14/04/2023 05:00,14/04/2023 06:00,4028
14/04/2023 06:00,14/04/2023 07:00,3886
14/04/2023 07:00,14/04/2023 08:00,3343
14/04/2023 08:00,14/04/2023 09:00,2336
14/04/2023 09:00,14/04/2023 10:00,1697
14/04/2023 10:00,14/04/2023 11:00,1608
14/04/2023 11:00,14/04/2023 12:00,1818
14/04/2023 12:00,14/04/2023 13:00,1963
14/04/2023 13:00,14/04/2023 14:00,1962
14/04/2023 14:00,14/04/2023 15:00,1994
14/04/2023 15:00,14/04/2023 16:00,2088
14/04/2023 16:00,14/04/2023 17:00,2207
14/04/2023 17:00,14/04/2023 18:00,2284
14/04/2023 18:00,14/04/2023 19:00,2269
14/04/2023 19:00,14/04/2023 20:00,2168
14/04/2023 20:00,14/04/2023 21:00,2517
14/04/2023 21:00,14/04/2023 22:00,3408
14/04/2023 22:00,14/04/2023 23:00,3933
14/04/2023 23:00,15/04/2023 00:00,4050
15/04/2023 00:00,15/04/2023 01:00,4004
15/04/2023 01:00,15/04/2023 02:00,3752
15/04/2023 02:00,15/04/2023 03:00,3491
15/04/2023 03:00,15/04/2023 04:00,3268
15/04/2023 04:00,15/04/2023 05:00,2950
15/04/2023 05:00,15/04/2023 06:00,2508
15/04/2023 06:00,15/04/2023 07:00,2309
15/04/2023 07:00,15/04/2023 08:00,1849
15/04/2023 08:00,15/04/2023 09:00,955
15/04/2023 09:00,15/04/2023 10:00,332
15/04/2023 10:00,15/04/2023 11:00,252
15/04/2023 11:00,15/04/2023 12:00,532
15/04/2023 12:00,15/04/2023 13:00,724
15/04/2023 13:00,15/04/2023 14:00,650
15/04/2023 14:00,15/04/2023 15:00,442
15/04/2023 15:00,15/04/2023 16:00,315
15/04/2023 16:00,15/04/2023 17:00,252
15/04/2023 17:00,15/04/2023 18:00,238
15/04/2023 18:00,15/04/2023 19:00,246
15/04/2023 19:00,15/04/2023 20:00,332
15/04/2023 20:00,15/04/2023 21:00,553
15/04/2023 21:00,15/04/2023 22:00,865
15/04/2023 22:00,15/04/2023 23:00,1061
15/04/2023 23:00,16/04/2023 00:00,1158
16/04/2023 00:00,16/04/2023 01:00,1260
16/04/2023 01:00,16/04/2023 02:00,1334
16/04/2023 02:00,16/04/2023 03:00,1177
16/04/2023 03:00,16/04/2023 04:00,868
16/04/2023 04:00,16/04/2023 05:00,548
16/04/2023 05:00,16/04/2023 06:00,317
16/04/2023 06:00,16/04/2023 07:00,181
16/04/2023 07:00,16/04/2023 08:00,184
16/04/2023 08:00,16/04/2023 09:00,178
16/04/2023 09:00,16/04/2023 10:00,87
16/04/2023 10:00,16/04/2023 11:00,82
16/04/2023 11:00,16/04/2023 12:00,142
16/04/2023 12:00,16/04/2023 13:00,118
16/04/2023 13:00,16/04/2023 14:00,78
16/04/2023 14:00,16/04/2023 15:00,68
16/04/2023 15:00,16/04/2023 16:00,94
16/04/2023 16:00,16/04/2023 17:00,143
16/04/2023 17:00,16/04/2023 18:00,190
16/04/2023 18:00,16/04/2023 19:00,169
16/04/2023 19:00,16/04/2023 20:00,180
16/04/2023 20:00,16/04/2023 21:00,290
16/04/2023 21:00,16/04/2023 22:00,439
16/04/2023 22:00,16/04/2023 23:00,460
16/04/2023 23:00,17/04/2023 00:00,418
17/04/2023 00:00,17/04/2023 01:00,328
17/04/2023 01:00,17/04/2023 02:00,229
17/04/2023 02:00,17/04/2023 03:00,137
17/04/2023 03:00,17/04/2023 04:00,78
17/04/2023 04:00,17/04/2023 05:00,61
17/04/2023 05:00,17/04/2023 06:00,91
17/04/2023 06:00,17/04/2023 07:00,147
17/04/2023 07:00,17/04/2023 08:00,151
17/04/2023 08:00,17/04/2023 09:00,116
17/04/2023 09:00,17/04/2023 10:00,52
17/04/2023 10:00,17/04/2023 11:00,20
17/04/2023 11:00,17/04/2023 12:00,30
17/04/2023 12:00,17/04/2023 13:00,67
17/04/2023 13:00,17/04/2023 14:00,125
17/04/2023 14:00,17/04/2023 15:00,255
